StudentID,StudyHours,AttendancePercent,PracticeTests,PreviousScore,FinalScore,Passed
S001,5.3,90.7,9,89.5,62.8,Yes
S002,16.4,56.7,8,39.7,37.6,No
S003,12.2,80.8,7,36.6,36.8,No
S004,9.9,70.1,7,85.0,52.2,Yes
S005,9.5,88.3,0,67.3,50.5,Yes
S006,20.0,53.4,2,74.4,47.1,No
S007,22.7,80.3,9,51.3,57.1,Yes
S008,5.3,92.9,8,86.0,38.1,No
S009,16.7,81.4,5,88.6,60.2,Yes
S010,8.2,66.1,8,63.5,49.7,No
S011,24.2,82.8,7,89.2,75.8,Yes
S012,23.1,66.9,8,60.3,63.2,Yes
S013,16.3,83.4,5,56.4,51.1,Yes
S014,19.1,56.4,0,77.1,47.8,No
S015,13.4,64.0,4,68.7,54.3,Yes
S016,20.8,51.6,2,42.0,40.7,No
S017,11.8,54.2,9,60.9,32.1,No
S018,9.1,77.7,9,31.0,49.9,No
S019,7.7,61.6,2,82.5,36.9,No
S020,6.4,75.8,9,62.5,58.9,Yes
S021,13.6,83.0,3,32.8,53.3,Yes
S022,11.3,94.1,2,86.3,62.3,Yes
S023,16.9,67.8,2,90.0,62.9,Yes
S024,1.3,65.9,6,74.2,55.1,Yes
S025,11.7,65.7,2,55.9,33.4,No
S026,9.8,55.9,2,65.5,41.6,No
S027,5.7,83.2,7,30.6,40.2,No
S028,15.3,91.0,4,36.5,40.5,No
S029,11.4,73.7,7,49.9,61.1,Yes
S030,8.2,77.9,0,54.7,34.2,No
S031,6.0,97.9,1,75.4,43.6,No
S032,22.0,84.9,3,40.2,53.6,Yes
S033,20.1,87.3,3,37.0,56.8,Yes
S034,15.6,94.5,2,71.8,52.4,Yes
S035,9.3,60.8,4,83.3,44.2,No
S036,23.7,82.5,10,82.8,77.3,Yes
S037,14.5,85.9,5,74.5,47.9,No
S038,11.4,92.1,6,89.0,56.8,Yes
S039,22.6,67.2,8,61.3,54.3,Yes
S040,8.7,84.4,1,76.5,45.0,No
S041,17.7,80.2,1,55.0,47.7,No
S042,8.5,70.5,4,51.2,53.3,Yes
S043,7.3,55.1,6,84.6,54.3,Yes
S044,17.8,67.7,5,55.8,50.8,Yes
S045,6.5,98.2,1,74.8,47.5,No
S046,12.8,60.8,7,59.8,54.2,Yes
S047,14.9,55.7,10,36.7,48.3,No
S048,5.5,68.4,5,37.6,40.6,No
S049,18.5,55.0,9,60.6,64.0,Yes
S050,14.2,63.4,4,72.5,43.1,No
S051,15.9,95.7,4,74.5,44.6,No
S052,9.9,65.9,3,50.1,38.9,No
S053,11.1,79.3,5,30.6,40.6,No
S054,12.9,61.9,6,62.0,49.9,No
S055,12.3,83.4,1,41.4,36.3,No
S056,17.2,56.4,10,49.2,49.7,No
S057,14.9,89.5,1,64.0,55.1,Yes
S058,11.0,71.1,6,53.5,50.2,Yes
S059,1.0,59.2,3,57.5,40.9,No
S060,20.1,87.9,9,33.0,40.6,No
S061,13.5,77.7,7,41.0,35.7,No
S062,8.8,71.9,0,80.5,55.3,Yes
S063,13.0,62.0,0,60.7,44.7,No
S064,3.2,89.1,2,83.1,53.0,Yes
S065,22.7,68.3,9,81.4,65.7,Yes
S066,24.8,52.2,9,41.6,50.3,Yes
S067,2.4,98.3,6,54.0,46.5,No
S068,9.6,51.5,6,61.5,35.6,No
S069,18.5,56.0,7,35.9,34.1,No
S070,8.5,73.3,5,35.1,29.7,No
S071,14.6,60.4,5,80.5,54.2,Yes
S072,11.0,66.8,4,79.6,54.7,Yes
S073,19.6,78.4,5,53.0,65.7,Yes
S074,24.0,97.9,3,72.4,69.0,Yes
S075,22.3,96.8,8,61.1,70.5,Yes
S076,15.9,53.7,7,74.9,65.4,Yes
S077,4.8,92.7,7,48.9,40.1,No
S078,23.7,58.4,4,58.4,46.5,No
S079,1.6,90.6,4,83.6,45.2,No
S080,8.1,64.8,4,79.0,46.3,No
S081,7.8,85.9,6,48.6,59.4,Yes
S082,17.1,85.9,8,82.9,63.9,Yes
S083,12.7,92.5,0,53.9,54.9,Yes
S084,3.2,99.0,10,70.9,52.6,Yes
S085,1.3,63.8,9,72.7,48.2,No
S086,15.5,81.4,10,54.1,62.3,Yes
S087,12.8,87.0,3,79.6,59.5,Yes
S088,15.4,54.0,5,57.9,51.0,Yes
S089,14.5,83.1,6,87.6,57.5,Yes
S090,22.4,66.1,1,86.2,68.9,Yes
S091,23.0,58.1,3,84.0,65.9,Yes
S092,5.5,77.5,0,84.5,39.8,No
S093,23.6,73.1,1,38.8,50.9,Yes
S094,19.9,78.9,5,68.9,51.8,Yes
S095,16.3,82.1,3,74.5,56.8,Yes
S096,16.8,74.9,0,61.7,39.2,No
S097,14.1,95.3,9,61.8,65.9,Yes
S098,23.0,58.9,1,42.1,65.0,Yes
S099,6.6,64.4,2,39.6,41.6,No
S100,15.4,67.8,2,77.0,56.4,Yes
